Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime,LAT,LNG
PI040297AD5I205735,-3.015,56.394,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_akpf3d5z,2018-09-10T14:24:00.000Z,2018-09-19T17:53:41.000Z,56.394,-3.015
PI040297AD5I205735,-3.015,56.394,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_akpf3d5z,2018-09-10T14:24:00.000Z,2018-09-19T17:53:41.000Z,56.394,-3.015
PI040297AD5I205735,-3.015,56.394,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_akpf3d5z,2018-09-10T14:24:00.000Z,2018-09-19T17:53:41.000Z,56.394,-3.015
PI040297AD5I205735,-3.015,56.394,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_akpf3d5z,2018-09-10T14:24:00.000Z,2018-09-19T17:53:41.000Z,56.394,-3.015
PI040298AD5J214286,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_hb6ch07w,2018-09-13T10:19:02.000Z,2019-04-06T13:08:22.000Z,52.57899999999999,-7.189
PI040298AD5J214286,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_hb6ch07w,2018-09-13T10:19:02.000Z,2019-04-06T13:08:22.000Z,52.57899999999999,-7.189
PI040298AD5J214286,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_hb6ch07w,2018-09-13T10:19:02.000Z,2019-04-06T13:08:22.000Z,52.57899999999999,-7.189
PI040298AD5J214286,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_hb6ch07w,2018-09-13T10:19:02.000Z,2019-04-06T13:08:22.000Z,52.57899999999999,-7.189
PI040298AD5J214286,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_hb6ch07w,2018-09-13T10:19:02.000Z,2019-04-06T13:08:22.000Z,52.57899999999999,-7.189
PI040298AD5J214286,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_hb6ch07w,2018-09-13T10:19:02.000Z,2019-04-06T13:08:22.000Z,52.57899999999999,-7.189
PI040298AD5J215010,-7.188,52.58,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_acz687zj,2018-09-12T15:37:26.000Z,2019-04-06T12:59:39.000Z,52.58,-7.188
PI040298AD5J215010,-7.188,52.58,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_acz687zj,2018-09-12T15:37:26.000Z,2019-04-06T12:59:39.000Z,52.58,-7.188
PI040298AD5J215010,-7.188,52.58,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_acz687zj,2018-09-12T15:37:26.000Z,2019-04-06T12:59:39.000Z,52.58,-7.188
PI040298AD5J215010,-7.188,52.58,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_acz687zj,2018-09-12T15:37:26.000Z,2019-04-06T12:59:39.000Z,52.58,-7.188
PI040298AD5J215010,-7.188,52.58,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_acz687zj,2018-09-12T15:37:26.000Z,2019-04-06T12:59:39.000Z,52.58,-7.188
PI040298AD5J215010,-7.188,52.58,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_acz687zj,2018-09-12T15:37:26.000Z,2019-04-06T12:59:39.000Z,52.58,-7.188
PI040298AD5J214892,-7.189,52.58,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_826na1jh,2018-09-12T11:57:01.000Z,2018-10-16T17:10:33.000Z,52.58,-7.189
PI040298AD5J214892,-7.189,52.58,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_826na1jh,2018-09-12T11:57:01.000Z,2018-10-16T17:10:33.000Z,52.58,-7.189
PI040298AD5J214892,-7.189,52.58,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_826na1jh,2018-09-12T11:57:01.000Z,2018-10-16T17:10:33.000Z,52.58,-7.189
PI040298AD5J214892,-7.189,52.58,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_826na1jh,2018-09-12T11:57:01.000Z,2018-10-16T17:10:33.000Z,52.58,-7.189
PI040298AD5J214892,-7.189,52.58,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_826na1jh,2018-09-12T11:57:01.000Z,2018-10-16T17:10:33.000Z,52.58,-7.189
PI040298AD5J214892,-7.189,52.58,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_826na1jh,2018-09-12T11:57:01.000Z,2018-10-16T17:10:33.000Z,52.58,-7.189
PI040298AD5J214199,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ed4aaqw1,2018-09-13T10:25:16.000Z,2019-01-20T15:57:56.000Z,52.57899999999999,-7.189
PI040298AD5J214199,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_ed4aaqw1,2018-09-13T10:25:16.000Z,2019-01-20T15:57:56.000Z,52.57899999999999,-7.189
PI040298AD5J214199,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_ed4aaqw1,2018-09-13T10:25:16.000Z,2019-01-20T15:57:56.000Z,52.57899999999999,-7.189
PI040298AD5J214199,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_ed4aaqw1,2018-09-13T10:25:16.000Z,2019-01-20T15:57:56.000Z,52.57899999999999,-7.189
PI040298AD5J214199,-7.189,52.57899999999999,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_ed4aaqw1,2018-09-13T10:25:16.000Z,2019-01-20T15:57:56.000Z,52.57899999999999,-7.189
